Study,Study_ID,BrainBankNetworkID,Brain region,Sample_Name
Tissue Quality Control,IGFQ001254,RSMG17,,RSMG17_7_S1
Tissue Quality Control,IGFQ001462,S17/109,ITG,S17_109_ITG_S1
Tissue Quality Control,IGFQ001462,S15/016,ITG,S15_016_ITG_S1
Tissue Quality Control,IGFQ001462,S17/016,ITG,S17_016_ITG_S1
Tissue Quality Control,IGFQ001462,S17/093,ITG,S17_093_ITG_S1
Tissue Quality Control,IGFQ001462,S18/123,ITG,S18_123_ITG_S1
Tissue Quality Control,IGFQ001462,S15/033,ITG,S15_033_ITG_S1
Tissue Quality Control,IGFQ001462,S17/005,ITG,S17_005_ITG_S1
Tissue Quality Control,IGFQ001462,S18/112,ITG,S18_112_ITG_S1
Tissue Quality Control,IGFQ001462,S18/030,ITG,S18_030_ITG_S1
Tissue Quality Control,IGFQ001462,S15/027,ITG,S15_027_ITG_S1
Tissue Quality Control,IGFQ001462,S18/105,ITG,S18_105_ITG_S1
Tissue Quality Control,IGFQ001462,S15/074,ITG,S15_074_ITG_S1
Tissue Quality Control,IGFQ001509,S15/016,ITG,S15_016_ITG_S2
